"IRESTAURANT","SHIFTDATE","CREATETIME","STARTTIME","CLOSETIME","SHIFTLOADDATETIME","PROC_DATE"
"382","2023-04-20 00:00:00.000","2023-04-19 22:17:22.000","2023-04-20 14:29:41.000","2023-04-20 22:03:01.000","2023-04-20 22:05:27.000","2023-04-21 05:30:47.030"
"252","2023-04-20 00:00:00.000","2023-04-19 22:15:30.000","2023-04-20 13:08:28.000","2023-04-20 22:03:20.000","2023-04-20 22:05:46.000","2023-04-21 05:30:47.030"
"370","2023-04-20 00:00:00.000","2023-04-19 22:01:04.000","2023-04-20 12:58:21.000","2023-04-20 22:26:48.000","2023-04-20 22:31:58.000","2023-04-21 05:30:47.030"
"348","2023-04-20 00:00:00.000","2023-04-19 21:10:42.000","2023-04-20 12:17:31.000","2023-04-20 21:38:15.000","2023-04-20 21:44:17.000","2023-04-21 05:30:47.030"
"66","2023-04-20 00:00:00.000","2023-04-19 21:08:43.000","2023-04-20 13:22:17.000","2023-04-20 21:20:15.000","2023-04-20 21:22:48.000","2023-04-21 05:30:47.030"
"5","2023-04-20 00:00:00.000","2023-04-19 21:30:48.000","2023-04-20 12:56:55.000","2023-04-20 22:27:10.000","2023-04-20 22:31:20.000","2023-04-21 05:30:47.030"
"8","2023-04-20 00:00:00.000","2023-04-19 21:34:48.000","2023-04-20 12:11:15.000","2023-04-20 21:20:01.000","2023-04-20 21:25:15.000","2023-04-21 05:30:47.030"
"304","2023-04-20 00:00:00.000","2023-04-19 22:08:26.000","2023-04-20 12:00:57.000","2023-04-20 22:07:00.000","2023-04-20 22:11:26.000","2023-04-21 05:30:47.030"
"21","2023-04-20 00:00:00.000","2023-04-19 22:54:20.000","2023-04-20 13:58:50.000","2023-04-20 23:15:59.000","2023-04-20 23:18:31.000","2023-04-21 05:30:47.030"
"359","2023-04-20 00:00:00.000","2023-04-19 22:55:20.000","2023-04-20 14:11:41.000","2023-04-20 23:28:16.000","2023-04-20 23:35:00.000","2023-04-21 05:30:47.030"
"390","2023-04-20 00:00:00.000","2023-04-19 22:16:21.000","2023-04-20 09:43:10.000","2023-04-20 22:16:33.000","2023-04-20 22:18:10.000","2023-04-21 05:30:47.030"
"314","2023-04-20 00:00:00.000","2023-04-19 21:56:52.000","2023-04-20 12:37:25.000","2023-04-20 22:00:11.000","2023-04-20 22:03:56.000","2023-04-21 05:30:47.030"
"28","2023-04-20 00:00:00.000","2023-04-19 21:37:12.000","2023-04-20 12:42:46.000","2023-04-20 22:04:05.000","2023-04-20 22:07:07.000","2023-04-21 05:30:47.030"
"68","2023-04-20 00:00:00.000","2023-04-19 22:16:40.000","2023-04-20 12:39:02.000","2023-04-20 22:36:45.000","2023-04-20 22:37:23.000","2023-04-21 05:30:47.030"
"391","2023-04-20 00:00:00.000","2023-04-19 21:46:37.000","2023-04-20 12:40:29.000","2023-04-20 22:23:34.000","2023-04-20 22:29:19.000","2023-04-21 05:30:47.030"
"134","2023-04-20 00:00:00.000","2023-04-19 21:27:14.000","2023-04-20 12:08:19.000","2023-04-20 21:21:36.000","2023-04-20 21:26:31.000","2023-04-21 05:30:47.030"
"213","2023-04-20 00:00:00.000","2023-04-19 22:32:05.000","2023-04-20 13:11:02.000","2023-04-20 22:01:55.000","2023-04-20 22:03:26.000","2023-04-21 05:30:47.030"
"140","2023-04-20 00:00:00.000","2023-04-19 22:24:13.000","2023-04-20 12:07:03.000","2023-04-20 21:31:25.000","2023-04-20 21:36:24.000","2023-04-21 05:30:47.030"
"195","2023-04-20 00:00:00.000","2023-04-19 22:17:25.000","2023-04-20 14:00:50.000","2023-04-20 21:53:18.000","2023-04-20 21:59:57.000","2023-04-21 05:30:47.030"
"215","2023-04-20 00:00:00.000","2023-04-19 21:45:46.000","2023-04-20 13:36:50.000","2023-04-20 21:44:21.000","2023-04-20 21:46:28.000","2023-04-21 05:30:47.030"
"298","2023-04-20 00:00:00.000","2023-04-19 22:45:45.000","2023-04-20 14:50:26.000","2023-04-20 22:13:35.000","2023-04-20 22:14:24.000","2023-04-21 05:30:47.030"
"233","2023-04-20 00:00:00.000","2023-04-19 22:19:03.000","2023-04-20 12:12:47.000","2023-04-20 22:06:13.000","2023-04-20 22:12:13.000","2023-04-21 05:30:47.030"
"301","2023-04-20 00:00:00.000","2023-04-19 21:23:31.000","2023-04-20 19:15:44.000","2023-04-20 21:07:06.000","2023-04-20 21:08:51.000","2023-04-21 05:30:47.030"
"385","2023-04-20 00:00:00.000","2023-04-19 22:45:52.000","2023-04-20 12:55:13.000","2023-04-20 22:23:24.000","2023-04-20 22:33:07.000","2023-04-21 05:30:47.030"
"30","2023-04-20 00:00:00.000","2023-04-19 21:51:23.000","2023-04-20 13:37:50.000","2023-04-20 22:05:48.000","2023-04-20 22:08:13.000","2023-04-21 05:30:47.030"
"29","2023-04-20 00:00:00.000","2023-04-19 22:14:37.000","2023-04-20 12:55:19.000","2023-04-20 22:54:58.000","2023-04-20 22:56:36.000","2023-04-21 05:30:47.030"
"242","2023-04-20 00:00:00.000","2023-04-19 21:42:01.000","2023-04-20 13:27:45.000","2023-04-20 22:12:51.000","2023-04-20 22:11:17.000","2023-04-21 05:30:47.030"
"373","2023-04-20 00:00:00.000","2023-04-19 22:13:40.000","2023-04-20 13:52:40.000","2023-04-20 21:55:15.000","2023-04-20 22:01:46.000","2023-04-21 05:30:47.030"
"225","2023-04-20 00:00:00.000","2023-04-19 22:20:57.000","2023-04-20 12:38:00.000","2023-04-20 23:20:12.000","2023-04-20 23:21:49.000","2023-04-21 05:30:47.030"
"207","2023-04-20 00:00:00.000","2023-04-19 22:28:46.000","2023-04-20 12:42:57.000","2023-04-20 21:51:41.000","2023-04-20 21:52:58.000","2023-04-21 05:30:47.030"
"306","2023-04-20 00:00:00.000","2023-04-19 21:29:25.000","2023-04-20 18:55:38.000","2023-04-20 22:20:29.000","2023-04-20 22:22:52.000","2023-04-21 05:30:47.030"
"327","2023-04-20 00:00:00.000","2023-04-19 21:43:16.000","2023-04-20 12:21:51.000","2023-04-20 21:41:40.000","2023-04-20 21:46:05.000","2023-04-21 05:30:47.030"
"269","2023-04-20 00:00:00.000","2023-04-19 21:59:41.000","2023-04-20 12:29:57.000","2023-04-20 22:17:09.000","2023-04-20 22:25:20.000","2023-04-21 05:30:47.030"
"202","2023-04-20 00:00:00.000","2023-04-19 21:55:48.000","2023-04-20 12:26:37.000","2023-04-20 21:51:17.000","2023-04-20 21:54:49.000","2023-04-21 05:30:47.030"
"329","2023-04-20 00:00:00.000","2023-04-19 22:09:29.000","2023-04-20 14:03:01.000","2023-04-20 21:55:00.000","2023-04-20 21:58:50.000","2023-04-21 05:30:47.030"
"218","2023-04-20 00:00:00.000","2023-04-19 21:21:19.000","2023-04-20 12:28:30.000","2023-04-20 21:27:15.000","2023-04-20 21:31:00.000","2023-04-21 05:30:47.030"
"229","2023-04-20 00:00:00.000","2023-04-19 22:17:43.000","2023-04-20 12:24:44.000","2023-04-20 22:25:24.000","2023-04-20 22:28:22.000","2023-04-21 05:30:47.030"
"300","2023-04-20 00:00:00.000","2023-04-19 22:17:21.000","2023-04-20 12:00:37.000","2023-04-20 22:25:35.000","2023-04-20 22:30:28.000","2023-04-21 05:30:47.030"
"69","2023-04-20 00:00:00.000","2023-04-19 21:31:15.000","2023-04-20 12:31:39.000","2023-04-20 21:56:14.000","2023-04-20 22:00:13.000","2023-04-21 05:30:47.030"
"186","2023-04-20 00:00:00.000","2023-04-19 21:36:54.000","2023-04-20 13:03:02.000","2023-04-20 21:35:36.000","2023-04-20 21:37:39.000","2023-04-21 05:30:47.030"
"420","2023-04-20 00:00:00.000","2023-04-19 22:08:17.000","2023-04-20 12:24:25.000","2023-04-20 21:46:35.000","2023-04-20 21:48:51.000","2023-04-21 05:30:47.030"
"416","2023-04-20 00:00:00.000","2023-04-19 22:51:38.000","2023-04-20 12:20:14.000","2023-04-20 22:19:03.000","2023-04-20 22:22:02.000","2023-04-21 05:30:47.030"
"419","2023-04-20 00:00:00.000","2023-04-19 22:16:17.000","2023-04-20 12:18:49.000","2023-04-20 22:35:54.000","2023-04-20 22:41:17.000","2023-04-21 05:30:47.030"
"415","2023-04-20 00:00:00.000","2023-04-19 22:06:05.000","2023-04-20 12:26:54.000","2023-04-20 21:54:28.000","2023-04-20 21:56:23.000","2023-04-21 05:30:47.030"
"417","2023-04-20 00:00:00.000","2023-04-19 21:59:37.000","2023-04-20 12:17:41.000","2023-04-20 21:49:11.000","2023-04-20 21:52:06.000","2023-04-21 05:30:47.030"
"429","2023-04-20 00:00:00.000","2023-04-19 22:03:03.000","2023-04-20 12:01:25.000","2023-04-20 21:47:36.000","2023-04-20 21:54:05.000","2023-04-21 05:30:47.030"
"428","2023-04-20 00:00:00.000","2023-04-19 22:21:11.000","2023-04-20 13:36:04.000","2023-04-20 22:04:29.000","2023-04-20 22:09:11.000","2023-04-21 05:30:47.030"
"427","2023-04-20 00:00:00.000","2023-04-19 22:13:18.000","2023-04-20 12:35:48.000","2023-04-20 21:31:51.000","2023-04-20 21:34:22.000","2023-04-21 05:30:47.030"
"453","2023-04-20 00:00:00.000","2023-04-19 21:33:25.000","2023-04-20 12:46:33.000","2023-04-20 21:51:26.000","2023-04-20 21:57:59.000","2023-04-21 05:30:47.030"
"448","2023-04-20 00:00:00.000","2023-04-19 22:28:05.000","2023-04-20 13:34:01.000","2023-04-20 21:48:04.000","2023-04-20 21:48:54.000","2023-04-21 05:30:47.030"
"454","2023-04-20 00:00:00.000","2023-04-19 21:58:38.000","2023-04-20 12:31:20.000","2023-04-20 22:03:17.000","2023-04-20 22:04:57.000","2023-04-21 05:30:47.030"
"456","2023-04-20 00:00:00.000","2023-04-19 22:06:32.000","2023-04-20 11:26:22.000","2023-04-20 21:57:54.000","2023-04-20 22:01:24.000","2023-04-21 05:30:47.030"
"457","2023-04-20 00:00:00.000","2023-04-19 21:38:11.000","2023-04-20 14:05:37.000","2023-04-20 21:19:15.000","2023-04-20 21:32:25.000","2023-04-21 05:30:47.030"
"450","2023-04-20 00:00:00.000","2023-04-19 21:50:25.000","2023-04-20 12:31:34.000","2023-04-20 21:42:04.000","2023-04-20 21:50:21.000","2023-04-21 05:30:47.030"
"449","2023-04-20 00:00:00.000","2023-04-19 21:41:28.000","2023-04-20 12:43:32.000","2023-04-20 22:01:01.000","2023-04-20 22:02:01.000","2023-04-21 05:30:47.030"
"458","2023-04-20 00:00:00.000","2023-04-19 21:55:39.000","2023-04-20 11:58:40.000","2023-04-20 22:25:28.000","2023-04-20 22:30:13.000","2023-04-21 05:30:47.030"
"119","2023-04-20 00:00:00.000","2023-04-19 18:33:02.000","2023-04-20 07:59:01.000","2023-04-20 18:19:42.000","2023-04-20 18:22:48.000","2023-04-21 05:30:47.030"
"435","2023-04-20 00:00:00.000","2023-04-19 22:11:06.000","2023-04-20 10:06:55.000","2023-04-20 22:02:31.000","2023-04-20 22:06:25.000","2023-04-21 05:30:47.030"
"423","2023-04-20 00:00:00.000","2023-04-19 21:56:27.000","2023-04-20 10:15:21.000","2023-04-20 22:02:30.000","2023-04-20 22:06:51.000","2023-04-21 05:30:47.030"
"70","2023-04-20 00:00:00.000","2023-04-19 22:36:28.000","2023-04-20 13:00:49.000","2023-04-20 22:30:27.000","2023-04-20 22:33:16.000","2023-04-21 05:30:47.030"
"438","2023-04-20 00:00:00.000","2023-04-19 21:51:58.000","2023-04-20 13:19:33.000","2023-04-20 21:23:55.000","2023-04-20 21:37:43.000","2023-04-21 05:30:47.030"
"332","2023-04-20 00:00:00.000","2023-04-19 21:33:19.000","2023-04-20 11:28:04.000","2023-04-20 21:57:07.000","2023-04-20 21:59:31.000","2023-04-21 05:30:47.030"
"462","2023-04-20 00:00:00.000","2023-04-19 21:51:50.000","2023-04-20 13:21:44.000","2023-04-20 21:22:54.000","2023-04-20 21:25:53.000","2023-04-21 05:30:47.030"
"463","2023-04-20 00:00:00.000","2023-04-19 21:57:24.000","2023-04-20 12:14:46.000","2023-04-20 22:18:26.000","2023-04-20 22:22:31.000","2023-04-21 05:30:47.030"
"463","2023-04-20 00:00:00.000","2023-04-20 22:18:48.000","1899-12-30 00:00:00.000","2023-04-20 22:20:10.000","2023-04-20 22:22:28.000","2023-04-21 05:30:47.030"
"467","2023-04-20 00:00:00.000","2023-04-19 22:07:12.000","2023-04-20 09:18:39.000","2023-04-20 21:49:30.000","2023-04-20 21:51:27.000","2023-04-21 05:30:47.030"
"470","2023-04-20 00:00:00.000","2023-04-19 21:29:53.000","2023-04-20 13:14:41.000","2023-04-20 21:33:18.000","2023-04-20 21:38:19.000","2023-04-21 05:30:47.030"
"469","2023-04-20 00:00:00.000","2023-04-19 21:50:32.000","2023-04-20 13:18:47.000","2023-04-20 21:50:25.000","2023-04-20 21:54:16.000","2023-04-21 05:30:47.030"
"478","2023-04-20 00:00:00.000","2023-04-19 21:38:39.000","2023-04-20 12:42:47.000","2023-04-20 22:10:39.000","2023-04-20 22:11:00.000","2023-04-21 05:30:47.030"
"480","2023-04-20 00:00:00.000","2023-04-19 22:13:30.000","2023-04-20 14:25:52.000","2023-04-20 22:01:55.000","2023-04-20 22:05:30.000","2023-04-21 05:30:47.030"
"487","2023-04-20 00:00:00.000","2023-04-19 21:30:13.000","2023-04-20 12:31:54.000","2023-04-20 22:16:27.000","2023-04-20 22:19:22.000","2023-04-21 05:30:47.030"
"490","2023-04-20 00:00:00.000","2023-04-19 22:05:11.000","2023-04-20 12:10:31.000","2023-04-20 21:50:07.000","2023-04-20 21:53:30.000","2023-04-21 05:30:47.030"
"491","2023-04-20 00:00:00.000","2023-04-19 22:16:56.000","2023-04-20 12:11:34.000","2023-04-20 21:19:13.000","2023-04-20 21:23:27.000","2023-04-21 05:30:47.030"
"494","2023-04-20 00:00:00.000","2023-04-19 22:09:50.000","2023-04-20 12:56:05.000","2023-04-20 21:11:30.000","2023-04-20 21:12:08.000","2023-04-21 05:30:47.030"
"496","2023-04-20 00:00:00.000","2023-04-19 22:21:30.000","2023-04-20 13:05:57.000","2023-04-20 22:27:48.000","2023-04-20 22:30:23.000","2023-04-21 05:30:47.030"
"492","2023-04-20 00:00:00.000","2023-04-19 21:32:42.000","2023-04-20 13:06:26.000","2023-04-20 21:34:12.000","2023-04-20 21:38:04.000","2023-04-21 05:30:47.030"
"488","2023-04-20 00:00:00.000","2023-04-19 21:42:02.000","2023-04-20 10:55:50.000","2023-04-20 21:39:33.000","2023-04-20 21:41:28.000","2023-04-21 05:30:47.030"
"136","2023-04-20 00:00:00.000","2023-04-19 22:33:20.000","2023-04-20 12:53:47.000","2023-04-20 22:19:03.000","2023-04-20 22:23:18.000","2023-04-21 05:30:47.030"
"507","2023-04-20 00:00:00.000","2023-04-19 22:02:27.000","2023-04-20 13:26:52.000","2023-04-20 21:28:12.000","2023-04-20 21:28:49.000","2023-04-21 05:30:47.030"
"506","2023-04-20 00:00:00.000","2023-04-19 21:56:51.000","2023-04-20 13:35:33.000","2023-04-20 21:24:48.000","2023-04-20 21:26:22.000","2023-04-21 05:30:47.030"
"505","2023-04-20 00:00:00.000","2023-04-19 21:30:45.000","2023-04-20 12:15:35.000","2023-04-20 22:02:43.000","2023-04-20 22:01:53.000","2023-04-21 05:30:47.030"
"224","2023-04-20 00:00:00.000","2023-04-19 22:20:43.000","2023-04-20 14:11:50.000","2023-04-20 22:20:20.000","2023-04-20 22:24:48.000","2023-04-21 05:30:47.030"
"513","2023-04-20 00:00:00.000","2023-04-19 21:58:30.000","2023-04-20 13:32:18.000","2023-04-20 21:55:49.000","2023-04-20 21:58:47.000","2023-04-21 05:30:47.030"
"512","2023-04-20 00:00:00.000","2023-04-19 22:00:25.000","2023-04-20 12:52:31.000","2023-04-20 22:06:53.000","2023-04-20 22:10:48.000","2023-04-21 05:30:47.030"
"514","2023-04-20 00:00:00.000","2023-04-19 21:45:54.000","2023-04-20 12:43:15.000","2023-04-20 22:11:21.000","2023-04-20 22:21:06.000","2023-04-21 05:30:47.030"
"10","2023-04-20 00:00:00.000","2023-04-19 22:29:53.000","2023-04-20 13:40:18.000","2023-04-20 21:53:17.000","2023-04-20 21:55:40.000","2023-04-21 05:30:47.030"
"519","2023-04-20 00:00:00.000","2023-04-19 21:26:10.000","2023-04-20 13:56:28.000","2023-04-20 21:58:10.000","2023-04-20 21:58:34.000","2023-04-21 05:30:47.030"
"523","2023-04-20 00:00:00.000","2023-04-19 21:57:42.000","2023-04-20 12:11:52.000","2023-04-20 22:18:36.000","2023-04-20 22:20:44.000","2023-04-21 05:30:47.030"
"527","2023-04-20 00:00:00.000","2023-04-19 21:41:41.000","2023-04-20 19:44:05.000","2023-04-20 21:21:12.000","2023-04-20 21:25:04.000","2023-04-21 05:30:47.030"
"525","2023-04-20 00:00:00.000","2023-04-19 21:41:45.000","2023-04-20 12:24:53.000","2023-04-20 21:31:57.000","2023-04-20 21:32:14.000","2023-04-21 05:30:47.030"
"528","2023-04-20 00:00:00.000","2023-04-19 22:35:09.000","2023-04-20 12:26:27.000","2023-04-20 22:17:25.000","2023-04-20 22:21:48.000","2023-04-21 05:30:47.030"
"530","2023-04-20 00:00:00.000","2023-04-19 21:19:06.000","2023-04-20 12:47:58.000","2023-04-20 21:01:09.000","2023-04-20 21:04:15.000","2023-04-21 05:30:47.030"
"176","2023-04-20 00:00:00.000","2023-04-19 22:14:02.000","2023-04-20 14:07:08.000","2023-04-20 22:20:17.000","2023-04-20 22:25:24.000","2023-04-21 05:30:47.030"
"292","2023-04-20 00:00:00.000","2023-04-19 22:19:01.000","2023-04-20 13:13:46.000","2023-04-20 21:50:54.000","2023-04-20 21:52:45.000","2023-04-21 05:30:47.030"
"536","2023-04-20 00:00:00.000","2023-04-19 21:58:24.000","2023-04-20 13:17:10.000","2023-04-20 22:12:16.000","2023-04-20 22:13:38.000","2023-04-21 05:30:47.030"
"535","2023-04-20 00:00:00.000","2023-04-19 22:02:20.000","2023-04-20 11:41:07.000","2023-04-20 22:03:17.000","2023-04-20 22:04:53.000","2023-04-21 05:30:47.030"
"534","2023-04-20 00:00:00.000","2023-04-19 22:30:44.000","2023-04-20 14:05:59.000","2023-04-20 22:09:15.000","2023-04-20 22:13:08.000","2023-04-21 05:30:47.030"
"537","2023-04-20 00:00:00.000","2023-04-19 21:43:42.000","2023-04-20 13:46:04.000","2023-04-20 22:03:17.000","2023-04-20 22:07:45.000","2023-04-21 05:30:47.030"
"540","2023-04-20 00:00:00.000","2023-04-19 21:31:04.000","2023-04-20 10:15:13.000","2023-04-20 21:22:21.000","2023-04-20 21:24:24.000","2023-04-21 05:30:47.030"
"538","2023-04-20 00:00:00.000","2023-04-19 21:59:00.000","2023-04-20 12:33:45.000","2023-04-20 21:47:02.000","2023-04-20 21:49:13.000","2023-04-21 05:30:47.030"
"542","2023-04-20 00:00:00.000","2023-04-19 21:28:07.000","2023-04-20 20:09:30.000","2023-04-20 22:00:17.000","2023-04-20 22:02:07.000","2023-04-21 05:30:47.030"
"23","2023-04-20 00:00:00.000","2023-04-19 22:32:31.000","2023-04-20 12:44:17.000","2023-04-20 22:40:08.000","2023-04-20 22:42:54.000","2023-04-21 05:30:47.030"
"422","2023-04-20 00:00:00.000","2023-04-19 22:21:27.000","2023-04-20 12:12:57.000","2023-04-20 22:32:44.000","2023-04-20 22:35:48.000","2023-04-21 05:30:47.030"
"546","2023-04-20 00:00:00.000","2023-04-19 21:31:01.000","2023-04-20 13:06:52.000","2023-04-20 21:47:58.000","2023-04-20 21:51:07.000","2023-04-21 05:30:47.030"
"547","2023-04-20 00:00:00.000","2023-04-19 22:16:31.000","2023-04-20 12:49:57.000","2023-04-20 21:59:39.000","2023-04-20 22:00:23.000","2023-04-21 05:30:47.030"
"541","2023-04-20 00:00:00.000","2023-04-19 22:07:08.000","2023-04-20 13:31:45.000","2023-04-20 21:44:29.000","2023-04-20 21:46:50.000","2023-04-21 05:30:47.030"
"320","2023-04-20 00:00:00.000","2023-04-19 21:57:27.000","2023-04-20 13:22:06.000","2023-04-20 22:09:35.000","2023-04-20 22:13:34.000","2023-04-21 05:30:47.030"
"563","2023-04-20 00:00:00.000","2023-04-19 20:51:03.000","2023-04-20 20:23:12.000","2023-04-20 21:00:12.000","2023-04-20 21:00:16.000","2023-04-21 05:30:47.030"
"564","2023-04-20 00:00:00.000","2023-04-19 22:25:26.000","2023-04-20 13:08:00.000","2023-04-20 22:47:49.000","2023-04-20 22:50:57.000","2023-04-21 05:30:47.030"
"570","2023-04-20 00:00:00.000","2023-04-19 22:07:03.000","2023-04-20 13:43:10.000","2023-04-20 21:11:15.000","2023-04-20 21:12:54.000","2023-04-21 05:30:47.030"
"575","2023-04-20 00:00:00.000","2023-04-19 22:00:18.000","2023-04-20 11:14:54.000","2023-04-20 22:04:24.000","2023-04-20 22:06:39.000","2023-04-21 05:30:47.030"
"141","2023-04-20 00:00:00.000","2023-04-19 21:37:50.000","2023-04-20 13:00:36.000","2023-04-20 21:45:39.000","2023-04-20 21:46:52.000","2023-04-21 05:30:47.030"
"581","2023-04-20 00:00:00.000","2023-04-19 22:04:59.000","2023-04-20 13:14:38.000","2023-04-20 22:11:46.000","2023-04-20 22:13:42.000","2023-04-21 05:30:47.030"
"583","2023-04-20 00:00:00.000","2023-04-19 22:14:04.000","2023-04-20 13:40:04.000","2023-04-20 22:03:43.000","2023-04-20 22:08:22.000","2023-04-21 05:30:47.030"
"584","2023-04-20 00:00:00.000","2023-04-19 22:04:57.000","2023-04-20 13:02:15.000","2023-04-20 22:18:57.000","2023-04-20 22:21:14.000","2023-04-21 05:30:47.030"
"589","2023-04-20 00:00:00.000","2023-04-19 21:09:25.000","2023-04-20 05:52:03.000","2023-04-20 21:23:26.000","2023-04-20 21:29:24.000","2023-04-21 05:30:47.030"
"590","2023-04-20 00:00:00.000","2023-04-19 22:03:50.000","2023-04-20 05:55:28.000","2023-04-20 21:58:53.000","2023-04-20 22:09:25.000","2023-04-21 05:30:47.030"
"587","2023-04-20 00:00:00.000","2023-04-19 21:10:04.000","2023-04-20 06:41:55.000","2023-04-20 21:24:46.000","2023-04-20 21:26:15.000","2023-04-21 05:30:47.030"
"593","2023-04-20 00:00:00.000","2023-04-19 22:44:02.000","2023-04-20 12:28:28.000","2023-04-20 21:57:26.000","2023-04-20 21:57:44.000","2023-04-21 05:30:47.030"
"588","2023-04-20 00:00:00.000","2023-04-19 19:47:10.000","2023-04-20 06:38:49.000","2023-04-20 18:53:18.000","2023-04-20 18:59:21.000","2023-04-21 05:30:47.030"
"554","2023-04-20 00:00:00.000","2023-04-19 22:07:07.000","2023-04-20 12:42:12.000","2023-04-20 21:54:02.000","2023-04-20 21:57:41.000","2023-04-21 05:30:47.030"
"603","2023-04-20 00:00:00.000","2023-04-19 21:38:00.000","2023-04-20 13:50:08.000","2023-04-20 22:14:28.000","2023-04-20 22:15:02.000","2023-04-21 05:30:47.030"
"602","2023-04-20 00:00:00.000","2023-04-19 21:56:42.000","2023-04-20 12:59:44.000","2023-04-20 21:48:02.000","2023-04-20 21:50:49.000","2023-04-21 05:30:47.030"
"601","2023-04-20 00:00:00.000","2023-04-19 21:54:18.000","2023-04-20 20:28:32.000","2023-04-20 21:40:14.000","2023-04-20 21:47:16.000","2023-04-21 05:30:47.030"
"607","2023-04-20 00:00:00.000","2023-04-19 22:01:59.000","2023-04-20 12:26:47.000","2023-04-20 22:02:38.000","2023-04-20 22:05:54.000","2023-04-21 05:30:47.030"
"608","2023-04-20 00:00:00.000","2023-04-19 22:05:23.000","2023-04-20 13:37:15.000","2023-04-20 22:16:33.000","2023-04-20 22:17:17.000","2023-04-21 05:30:47.030"
